#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success
1 0.11266181479855115 0.0 6.945906271153527e-08 1.0 0.22177063655379123 1.6523200016751232e-09 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.07757977903757698 2.562497886674779e-08 2.980232238769447e-09 1.0
2 -39.171695662280776 0.1577301587301595 1.0168147847058086e-07 2.0 0.1602679705692626 1.194089431831707e-09 2.58 2.264 0.316 0.0 1.29 0.29 0.264 0.08113836742054191 5.783878478926789e-08 3.844499588012648e-09 1.0
3 0.11579844313263238 0.2488205627705615 1.2657842629706125e-07 3.0 0.12622185614417497 9.404261122955007e-10 4.286666666666667 3.454 0.8326666666666667 0.0 1.4288888888888884 0.42888888888888893 0.454 0.07435437699156353 8.272961243551294e-08 4.2584207322861655e-09 1.0
4 0.1448871772566003 0.30770870610870305 1.510970264719995e-07 4.0 0.10440421021804115 7.778719828876939e-10 6.181333333333333 4.6706666666666665 1.5106666666666666 0.0 1.5453333333333332 0.5453333333333333 0.6706666666666666 0.07380825681164559 1.0718675784161897e-07 4.605452219645197e-09 1.0
5 0.12778635981774372 0.36799133138103957 1.7573793109788895e-07 5.0 0.08854784740768633 6.597328737950796e-10 8.35 5.8773333333333335 2.4726666666666666 0.0 1.6700000000000033 0.6699999999999988 0.8773333333333333 0.07506334253946076 1.3182216970588118e-07 4.976987838745079e-09 1.0
6 0.12936095412260928 0.40884366256378596 2.0076661660886374e-07 6.0 0.07729933369697992 5.759249157978588e-10 10.686 7.1386666666666665 3.5473333333333334 0.0 1.780999999999999 0.7810000000000005 1.1386666666666667 0.07715220180848303 1.5706517094942588e-07 5.307793617248515e-09 1.0
7 0.12298280590665046 0.449790337132118 2.2675103810629837e-07 7.0 0.06807779024955089 5.072190631147541e-10 13.311333333333334 8.401333333333334 4.91 0.0 1.9016190476190482 0.9016190476190475 1.4013333333333333 0.07863933909207134 1.829662647685178e-07 5.66726639157249e-09 1.0
8 0.12888966800241833 0.4736028046744533 2.504612872871159e-07 8.0 0.06138255055415809 4.5733564014850623e-10 15.823333333333334 9.614666666666666 6.208666666666667 0.0 1.9779166666666668 0.9779166666666667 1.6146666666666667 0.07993388735663196 2.0655678422371e-07 5.8946510155995754e-09 1.0
9 0.1292087871095733 0.5007992648465299 2.7677094404761807e-07 9.0 0.05538800342780627 4.1267278364156386e-10 18.696 10.843333333333334 7.852666666666667 0.0 2.0773333333333355 1.0773333333333328 1.8433333333333333 0.08156840258051029 2.3294651912686788e-07 6.190935770670572e-09 1.0
10 0.13072415903092544 0.5253541405134838 3.023501338061459e-07 10.0 0.05062281409953176 3.771693564916533e-10 21.793333333333333 12.127333333333333 9.666 0.0 2.179333333333333 1.1793333333333327 2.1273333333333335 0.08332393460472129 2.585046390249713e-07 6.494919459025073e-09 1.0
11 0.13390972682526758 0.5426932434721689 3.248869601364562e-07 11.0 0.04687277217774027 3.492293669115027e-10 24.768 13.299333333333333 11.468666666666667 0.0 2.2516363636363614 1.2516363636363614 2.2993333333333332 0.08476757472003459 2.8096751828761777e-07 6.710399280894882e-09 1.0
12 0.13175065698750707 0.5619024143707257 3.528821522882505e-07 12.0 0.043163771670030236 3.215951596947777e-10 28.240666666666666 14.583333333333334 13.657333333333334 0.0 2.353388888888889 1.3533888888888899 2.5833333333333335 0.08613966890329648 3.0903272607637013e-07 7.013645437028665e-09 1.0
13 0.13470702077211152 0.5813443983027802 3.785958212176718e-07 13.0 0.040121509961500226 2.9892854363843967e-10 31.846 15.745333333333333 16.100666666666665 0.0 2.4496923076923043 1.4496923076923083 2.7453333333333334 0.08760925707263055 3.347219877781353e-07 7.300651990450324e-09 1.0
14 0.13637200202278305 0.5922649623285948 4.009522387331552e-07 14.0 0.03787842240882653 2.822162390412877e-10 35.254 17.02 18.234 0.0 2.5181428571428537 1.5181428571428566 3.02 0.08901866483674087 3.571414954771433e-07 7.504650524684351e-09 1.0
15 0.1390581017320194 0.6038913833758595 4.240679866261923e-07 15.0 0.03573174972508019 2.662222811958208e-10 38.785333333333334 18.255333333333333 20.53 0.0 2.585688888888893 1.5856888888888916 3.255333333333333 0.09046079831543258 3.802192115370424e-07 7.705953386094847e-09 1.0
16 0.14144640291249394 0.6166143587317404 4.4870946614791463e-07 16.0 0.03373345926660519 2.5133385707888894e-10 42.648666666666664 19.466 23.182666666666666 0.0 2.6655416666666665 1.6655416666666667 3.466 0.09217769118843512 4.048482070994965e-07 7.943933208783467e-09 1.0
17 0.1429498783099962 0.6293726369657107 4.7492315155141783e-07 17.0 0.03182729948025946 2.37131859960105e-10 46.84 20.702 26.138 0.0 2.7552941176470624 1.7552941176470598 3.702 0.09350195112183972 4.3105863974352603e-07 8.211416356703819e-09 1.0
18 0.14473903502847255 0.6396392170566358 5.025872294805639e-07 18.0 0.0300756352043188 2.2408094409345687e-10 51.034 21.935333333333332 29.098666666666666 0.0 2.8352222222222228 1.8352222222222232 3.9353333333333333 0.09411227003938032 4.587432737843682e-07 8.449620670742462e-09 1.0
19 0.14583000907387753 0.6502512094721093 5.260030059112909e-07 19.0 0.02871453904004847 2.1393998742139689e-10 55.418 23.108 32.31 0.0 2.9167368421052617 1.9167368421052617 4.108 0.0955724054521873 4.822027664472319e-07 8.692553168848938e-09 1.0
20 0.1461807099592301 0.6584576926671548 5.531708714927873e-07 20.0 0.027264952687513087 2.0313972746963119e-10 59.59 24.427333333333333 35.16266666666667 0.0 2.9794999999999994 1.9794999999999987 4.427333333333333 0.09652502250335361 5.093275030926083e-07 8.87960195541382e-09 1.0
