#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success 1-node_p_success
1 0.11092598563545247 0.0 6.992261823123773e-08 1.0 0.22013028057126732 1.6400983972196827e-09 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.07666153331052256 2.6053032978332727e-08 2.980232238769447e-09 1.0 0.0
2 0.11041399883312886 0.15936507936508004 1.0037719812824786e-07 1.9986666666666666 0.1609445454212983 1.1991303072966508e-09 2.582 2.259333333333333 0.32266666666666666 0.0 1.291 0.291 0.26066666666666666 0.08191499851031173 5.661389956095906e-08 3.8474798202514175e-09 0.9993333333333333 0.0006666666666667043
3 0.12160770329459492 0.24743201058200914 1.2602116315969763e-07 2.990666666666667 0.12560126313603667 9.35802334070479e-10 4.26 3.426 0.834 0.0 1.42 0.4199999999999995 0.43533333333333335 0.0736605775131308 8.278443133755213e-08 4.231929779052657e-09 0.9968888888888889 0.0031111111111110645
4 0.14372764172533398 0.31871732711732415 1.4948735091131088e-07 3.956 0.1040595658141788 7.753041819794387e-10 6.246666666666667 4.655333333333333 1.5913333333333333 0.0 1.5616666666666668 0.5616666666666666 0.6993333333333334 0.07611830168293134 1.0782045854588255e-07 4.654129346211762e-09 0.989 0.01100000000000001
5 -0.43803312466799177 0.3729510052039482 1.71898883408903e-07 4.904 0.08861974855808953 6.602685791111703e-10 8.344 5.856 2.488 0.0 1.6688000000000032 0.6688000000000001 0.952 0.07805189555452541 1.323081165226678e-07 4.973411560058553e-09 0.9807999999999982 0.01920000000000177
6 0.12598288970432556 0.4228621773364799 1.9491390782600787e-07 5.833333333333333 0.07700236923881293 5.737123581678639e-10 10.708 7.096666666666667 3.6113333333333335 0.0 1.784666666666667 0.7846666666666661 1.2633333333333334 0.08057960275048491 1.5748805149801836e-07 5.318721135457334e-09 0.9722222222222211 0.0277777777777789
7 0.12839554053549726 0.45868491364754505 2.1380602175710243e-07 6.71 0.06876883937872848 5.123677803481257e-10 13.112 8.301333333333334 4.810666666666667 0.0 1.8731428571428574 0.8731428571428572 1.5913333333333333 0.08429136508236383 1.8042989770099156e-07 5.5824007306780174e-09 0.9585714285714313 0.041428571428568706
8 0.12743109817718057 0.4992900654665217 2.3317460507917722e-07 7.506 0.0613797808420648 4.573150041853249e-10 15.832666666666666 9.562666666666667 6.27 0.0 1.9790833333333333 0.9790833333333333 2.0566666666666666 0.08795483961616761 2.051511387786567e-07 5.898127953211468e-09 0.93825 0.06174999999999997
9 0.12688244471402343 0.5310320450943172 2.5107830821275593e-07 8.312666666666667 0.05595168459921714 4.16872535640129e-10 18.547333333333334 10.703333333333333 7.844 0.0 2.060814814814816 1.0608148148148153 2.3906666666666667 0.09159786266989688 2.2743506868145146e-07 6.141706749244972e-09 0.923629629629639 0.07637037037036098
10 0.12465333073622731 0.5585302006232304 2.694829694432893e-07 9.049333333333333 0.050952897114265636 3.7962866659660366e-10 21.44 11.814 9.626 0.0 2.1439999999999966 1.143999999999999 2.764666666666667 0.09465826726506232 2.5158583253909175e-07 6.389617919921875e-09 0.9049333333333353 0.09506666666666475
11 0.12528744900099933 0.585570615716969 2.8618505927964906e-07 9.734 0.04677117868630598 3.4847243641544864e-10 24.484666666666666 13.055333333333333 11.429333333333334 0.0 2.2258787878787905 1.2258787878787876 3.3213333333333335 0.09883270900022413 2.7440382104651843e-07 6.6336357232295995e-09 0.8849090909090975 0.11509090909090247
12 0.12519595798080624 0.611529585481746 2.9813528583014003e-07 10.31 0.043484314514650284 3.239833899933866e-10 27.625333333333334 14.152 13.473333333333333 0.0 2.3021111111111114 1.3021111111111117 3.842 0.10353836328210685 2.9597953512003684e-07 6.860825750562868e-09 0.8591666666666683 0.1408333333333317
13 0.12272028654523075 0.6313845178288318 3.162856021964715e-07 10.952 0.04016145361851241 2.992261470743448e-10 30.901333333333334 15.312666666666667 15.588666666666667 0.0 2.3770256410256425 1.377025641025642 4.360666666666667 0.10601065904074976 3.1866310029534513e-07 7.084088447766392e-09 0.8424615384615257 0.15753846153847428
14 0.12058721704319718 0.652740188364935 3.296565256365537e-07 11.481333333333334 0.03743495338140445 2.7891213731024004e-10 34.282666666666664 16.354 17.92866666666667 0.0 2.4487619047619047 1.4487619047619067 4.8726666666666665 0.11006539820603224 3.4117636209948876e-07 7.297879173642124e-09 0.8200952380952383 0.17990476190476168
15 0.12036613091249346 0.6742551328212447 3.4171950922859427e-07 11.894 0.03490951216744321 2.6009613400282866e-10 37.812 17.236666666666668 20.575333333333333 0.0 2.5208000000000017 1.520800000000004 5.342666666666666 0.1136554552696598 3.6006352294202385e-07 7.512569427490227e-09 0.7929333333333259 0.20706666666667406
16 0.11932492918111011 0.689264172573876 3.568910902491356e-07 12.392 0.03262183229296909 2.4305159071809865e-10 41.392 18.355333333333334 23.036666666666665 0.0 2.587 1.587 5.963333333333333 0.11642862453712845 3.81402888204019e-07 7.709860801696788e-09 0.7745 0.22550000000000003
17 0.11734845777742191 0.7086978102596634 3.658992709561614e-07 12.694666666666667 0.03066823224175796 2.2849613608239562e-10 45.129333333333335 19.156 25.973333333333333 0.0 2.654666666666665 1.6546666666666667 6.461333333333333 0.12056985985690767 3.993350385286204e-07 7.911523183186846e-09 0.7467450980392211 0.25325490196077893
18 0.11621219705482304 0.7226052336736718 3.757380256347089e-07 13.087333333333333 0.029022988569859288 2.1623811550333565e-10 48.699333333333335 20.146 28.553333333333335 0.0 2.7055185185185193 1.7055185185185195 7.058666666666666 0.12332925279537975 4.165233162708172e-07 8.063073511476864e-09 0.7270740740740745 0.27292592592592546
19 0.1155513086006924 0.7327657627646134 3.866138263475053e-07 13.515333333333333 0.02755488124789483 2.0529986357610546e-10 52.222 21.011333333333333 31.21066666666667 0.0 2.7485263157894786 1.748526315789476 7.496 0.12639906952091073 4.346081979067744e-07 8.191246735422214e-09 0.7113333333333379 0.2886666666666621
20 0.11125372986803987 0.7525946214648089 3.9694375838151754e-07 13.596 0.0256589862570471 1.911743451434903e-10 56.566 21.824 34.742 0.0 2.8283000000000036 1.828300000000002 8.228 0.13037705436346314 4.541508571522891e-07 8.428990840911838e-09 0.6798000000000001 0.32019999999999993
21 0.10928190814761293 0.7645263356262592 4.0386046671770405e-07 13.783333333333333 0.024312991086069418 1.811458996390508e-10 60.34733333333333 22.604666666666667 37.742666666666665 0.0 2.8736825396825396 1.8736825396825407 8.821333333333333 0.13390131950484496 4.6859560916225187e-07 8.564241348750979e-09 0.6563492063492052 0.34365079365079476
22 0.10889811488635347 0.7753059312641226 4.1281067354643065e-07 14.068666666666667 0.02317466244628404 1.7266469036254316e-10 64.304 23.407333333333334 40.89666666666667 0.0 2.922909090909095 1.922909090909092 9.338666666666667 0.13715810397938474 4.837441426931438e-07 8.710947903719826e-09 0.6394848484848462 0.3605151515151538
23 0.10710849426748219 0.7869141905652456 4.186337148073004e-07 14.171333333333333 0.021993684541041943 1.6386571929635065e-10 68.37866666666666 24.038 44.340666666666664 0.0 2.9729855072463773 1.9729855072463773 9.866666666666667 0.14097802362729314 4.966020862905168e-07 8.860187254090281e-09 0.6161449275362307 0.38385507246376926
24 0.107010759397067 0.7954999002354162 4.263113964752869e-07 14.411333333333333 0.02104798792244747 1.568197304192742e-10 72.19 24.716666666666665 47.473333333333336 0.0 3.0079166666666675 2.0079166666666692 10.305333333333333 0.14307955791398988 5.106049761438382e-07 8.964290221532206e-09 0.6004722222222219 0.39952777777777815
25 0.10235147772682472 0.8064268875286397 4.333213997416304e-07 14.42 0.019875857396395052 1.4808667746480593e-10 76.398 25.406 50.992 0.0 3.055919999999996 2.055919999999998 10.986 0.1472019366680431 5.24951716089353e-07 9.107351303100516e-09 0.5767999999999976 0.42320000000000235
26 0.10371227437023864 0.8117356967157874 4.410172649968254e-07 14.708666666666666 0.019163623503398872 1.4278012144117707e-10 80.08866666666667 26.108 53.980666666666664 0.0 3.0803333333333307 2.080333333333334 11.399333333333333 0.14904151765458704 5.362565128769712e-07 9.180108706156598e-09 0.5657179487179527 0.43428205128204733
27 0.10289349555267786 0.8212071812228469 4.481990715166893e-07 14.763333333333334 0.018238861732756673 1.3589010933605338e-10 84.41 26.654666666666667 57.75533333333333 0.0 3.1262962962962995 2.1262962962962946 11.891333333333334 0.15223279634793627 5.46868009084535e-07 9.317089010167995e-09 0.5467777777777783 0.45322222222222175
28 0.10079178667201412 0.8301268019604887 4.4641953019963353e-07 14.672666666666666 0.01748328814633436 1.3026064743350715e-10 88.58666666666667 27.106 61.480666666666664 0.0 3.1638095238095283 2.163809523809524 12.433333333333334 0.1582813330103253 5.541352153808896e-07 9.428887140183217e-09 0.5240238095238093 0.47597619047619066
29 0.10092813552615788 0.8375468015856086 4.5918369310725636e-07 14.765333333333333 0.016518540007876413 1.2307271367219398e-10 92.89266666666667 27.637333333333334 65.25533333333334 0.0 3.2031954022988387 2.203195402298848 12.872 0.15803227056529465 5.666510531784527e-07 9.546266205009573e-09 0.5091494252873572 0.4908505747126428
30 0.09682956138146964 0.8451387837459785 4.587160961230043e-07 14.708 0.015924073054372986 1.1864358972290893e-10 97.016 28.206666666666667 68.80933333333333 0.0 3.233866666666666 2.2338666666666684 13.498666666666667 0.16337323229149867 5.765228735221544e-07 9.637673695882131e-09 0.4902666666666664 0.5097333333333336
