#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success 1-node_p_success
1 0.11153608722899805 0.0 6.963657204874353e-08 1.0 0.22095287916438888 1.646227234336651e-09 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0770123185058511 2.5915225832319138e-08 2.980232238769447e-09 1.0 0.0
2 0.2746526515075679 0.16213333333333396 1.0173183186738325e-07 2.0 0.1600179744890994 1.1922268158875362e-09 2.5986666666666665 2.272 0.32666666666666666 0.0 1.2993333333333332 0.29933333333333334 0.272 0.08176760802217821 5.7677697764408e-08 3.872315088907831e-09 1.0 0.0
3 0.1243394772602181 0.23692857142857054 1.256397099831303e-07 3.0 0.1271374408377659 9.472477498484098e-10 4.228 3.3906666666666667 0.8373333333333334 0.0 1.409333333333331 0.40933333333333305 0.39066666666666666 0.07350320996001719 8.17525000524319e-08 4.200140635172444e-09 1.0 0.0
4 0.14059883820848687 0.31378149998149724 1.5202392372246682e-07 4.0 0.10351459172955724 7.712438086387309e-10 6.214 4.6866666666666665 1.5273333333333334 0.0 1.5535 0.5535 0.6866666666666666 0.07364668047652975 1.0812795280737071e-07 4.62979078292849e-09 1.0 0.0
5 0.1289838030512156 0.35952705954176734 1.7474168636020604e-07 5.0 0.08941270361841218 6.661765546978427e-10 8.260666666666667 5.882666666666666 2.378 0.0 1.6521333333333343 0.6521333333333336 0.8826666666666667 0.07557428995786242 1.3091845349464036e-07 4.92374102274573e-09 1.0 0.0
6 0.1287225858592107 0.41015733843040214 2.0035196359848184e-07 6.0 0.07735275799353487 5.763229578251755e-10 10.685333333333332 7.142666666666667 3.542666666666667 0.0 1.7808888888888899 0.7808888888888889 1.1426666666666667 0.07693510253307069 1.56594078311047e-07 5.307462480333097e-09 1.0 0.0
7 0.12802869474705036 0.44467255708525555 2.256144970831416e-07 7.0 0.06854241649328326 5.10680798391128e-10 13.174666666666667 8.384 4.790666666666667 0.0 1.882095238095236 0.8820952380952388 1.384 0.07865019644431935 1.8182459417812913e-07 5.609080905006046e-09 1.0 0.0
8 0.1296229640131523 0.47555582309292965 2.50228178173741e-07 8.0 0.061600678091371784 4.5896081694492537e-10 15.907333333333334 9.571333333333333 6.336 0.0 1.9884166666666667 0.9884166666666667 1.5713333333333332 0.0804300995572144 2.0633512357254498e-07 5.925943454106649e-09 1.0 0.0
9 0.1281839227718299 0.5043416701564468 2.757929275164127e-07 9.0 0.05551560925761497 4.1362352116119095e-10 18.809333333333335 10.859333333333334 7.95 0.0 2.0899259259259235 1.0899259259259262 1.8593333333333333 0.08155042434618058 2.3194261587724305e-07 6.2284646210847085e-09 1.0 0.0
10 0.1329658302881644 0.5233415408802634 3.0044584402518407e-07 10.0 0.05093155260634409 3.794696376200325e-10 21.716 12.092666666666666 9.623333333333333 0.0 2.171599999999998 1.1716000000000004 2.0926666666666667 0.08373938706612903 2.5660561881514243e-07 6.471872329711907e-09 1.0 0.0
11 0.13208456344867525 0.5448156237902569 3.2586213964294556e-07 11.0 0.04680364362518741 3.487143190591589e-10 24.879333333333335 13.282666666666668 11.596666666666666 0.0 2.2617575757575783 1.2617575757575736 2.2826666666666666 0.08473378056258404 2.820515675993309e-07 6.740562843553942e-09 1.0 0.0
12 0.13417553228687165 0.5622904058840844 3.511203541797681e-07 12.0 0.04339866223186488 3.233452307571834e-10 28.246 14.572666666666667 13.673333333333334 0.0 2.3538333333333363 1.3538333333333326 2.5726666666666667 0.08651897141936636 3.0731109196526123e-07 7.014969984690345e-09 1.0 0.0
13 0.1374462761320965 0.5765336116617809 3.73254018034344e-07 13.0 0.04073220337925568 3.0347856416743753e-10 31.547333333333334 15.732 15.815333333333333 0.0 2.426717948717951 1.4267179487179513 2.732 0.0879218467688435 3.2949513822799006e-07 7.232183065169871e-09 1.0 0.0
14 0.13792702581985772 0.5928442343632488 3.992725720753859e-07 14.0 0.03801935406505305 2.8326626170466134e-10 35.245333333333335 17.021333333333335 18.224 0.0 2.5175238095238024 1.5175238095238104 3.021333333333333 0.08968333910017412 3.554075886119848e-07 7.502805619012742e-09 1.0 0.0
15 0.13831431416105752 0.6059570313097877 4.244534972874673e-07 15.0 0.03572091389057283 2.661415479374888e-10 38.972 18.291333333333334 20.680666666666667 0.0 2.598133333333333 1.5981333333333314 3.291333333333333 0.09062456098814073 3.8067058631716766e-07 7.74304072062175e-09 1.0 0.0
16 0.14177380961115263 0.6180910826045428 4.520587467873617e-07 16.0 0.03352782831410224 2.498017870940435e-10 42.90266666666667 19.446666666666665 23.456 0.0 2.681416666666667 1.6814166666666666 3.4466666666666668 0.09224509697454979 4.0823565976222386e-07 7.99124439557393e-09 1.0 0.0
17 0.1424503342623966 0.6299493457113957 4.77108608659344e-07 17.0 0.031710464800133856 2.3626137375931334e-10 46.906 20.654 26.252 0.0 2.7591764705882365 1.7591764705882378 3.654 0.09320387359296581 4.33220170038547e-07 8.222986670101402e-09 1.0 0.0
18 0.14504747433757653 0.6378456464810739 4.991874743972947e-07 18.0 0.03031711146668977 2.258800824484957e-10 50.784666666666666 21.95 28.834666666666667 0.0 2.821370370370371 1.8213703703703716 3.95 0.09463746798275313 4.55326435036617e-07 8.408338935286908e-09 1.0 0.0
19 0.14521220716460242 0.6482996965934256 5.268103307639049e-07 19.0 0.028681679179333414 2.1369516238073568e-10 55.093333333333334 23.169333333333334 31.924 0.0 2.8996491228070207 1.8996491228070196 4.169333333333333 0.09548200808957284 4.829735286357267e-07 8.641627796909244e-09 1.0 0.0
20 0.14577858485266615 0.6624583294833238 5.569183484713126e-07 20.0 0.027079675173149586 2.017593024160682e-10 60.32333333333333 24.393333333333334 35.93 0.0 3.0161666666666713 2.0161666666666727 4.3933333333333335 0.0968210708731705 5.130075965059918e-07 8.988877137502017e-09 1.0 0.0
21 0.14771590228390288 0.6689586363626887 5.805782105848905e-07 21.0 0.025986693737402238 1.9361595613809107e-10 64.586 25.655333333333335 38.93066666666667 0.0 3.0755238095238067 2.075523809523807 4.655333333333333 0.09794382330746276 5.36709985996727e-07 9.16577520824612e-09 1.0 0.0
22 0.15029129163660507 0.6750392767074035 6.038453187961451e-07 22.0 0.024978795895093883 1.8610653203050705e-10 68.88933333333334 26.884 42.00533333333333 0.0 3.1313333333333344 2.13133333333333 4.884 0.09889316718470059 5.59979056468713e-07 9.332100550333662e-09 1.0 0.0
23 0.15012687116816434 0.6833213613242966 6.312650275963028e-07 23.0 0.023881387879342502 1.7793020516144113e-10 73.83066666666667 28.170666666666666 45.66 0.0 3.2100289855072486 2.210028985507243 5.1706666666666665 0.09956568867106483 5.873993133702724e-07 9.56663186999335e-09 1.0 0.0
24 0.15254603625879964 0.6889445137477704 6.533204553136531e-07 24.0 0.023052100020834562 1.7175152913357736e-10 78.35933333333334 29.394666666666666 48.964666666666666 0.0 3.264972222222218 2.2649722222222204 5.394666666666667 0.10118749270321092 6.094873169541007e-07 9.730375475353671e-09 1.0 0.0
25 0.15378882372574845 0.6959844680927836 6.792545117623555e-07 25.0 0.022161368879808963 1.651150649771762e-10 83.41333333333333 30.620666666666665 52.79266666666667 0.0 3.3365333333333336 2.3365333333333345 5.620666666666667 0.10189037588116313 6.354232507467405e-07 9.943644205729106e-09 1.0 0.0
26 0.15490035334815846 0.7025774651347124 7.062450331122413e-07 26.0 0.02131039239332389 1.587747960785321e-10 88.756 31.916666666666668 56.839333333333336 0.0 3.413692307692302 2.413692307692308 5.916666666666667 0.1032687255497726 6.624033925555129e-07 1.0173595868624296e-08 1.0 0.0
27 0.15690634021826444 0.708083499434667 7.308135351564253e-07 27.0 0.0205810434683959 1.5334072313007637e-10 93.78333333333333 33.03333333333333 60.75 0.0 3.4734567901234588 2.4734567901234596 6.033333333333333 0.10394311300979683 6.869827233456488e-07 1.035170790589885e-08 1.0 0.0
28 0.15776348120328443 0.7144550653778154 7.579899393001349e-07 28.0 0.019835131500841343 1.4778324589760112e-10 99.31133333333334 34.284 65.02733333333333 0.0 3.5468333333333337 2.546833333333336 6.284 0.10466242530371252 7.141485539603507e-07 1.0570387045542398e-08 1.0 0.0
29 0.15868964070280675 0.7202150947156022 7.841048173945164e-07 29.0 0.0191763664933968 1.4287506411520242e-10 105.00066666666666 35.598 69.40266666666666 0.0 3.620712643678168 2.6207126436781603 6.598 0.10565390860808332 7.40251291382914e-07 1.0790564548010114e-08 1.0 0.0
30 0.16148909331000968 0.7256214040613075 8.087279037415829e-07 30.0 0.018579809185071027 1.3843036580883732e-10 110.71733333333333 36.79533333333333 73.922 0.0 3.6905777777777815 2.6905777777777806 6.795333333333334 0.10721260658415951 7.648902006519879e-07 1.0998778873019731e-08 1.0 0.0
