#nodes "collision probability" p{success}
1 0.0 1.0
2 0.0012024251687536363 0.9999999982615021
3 0.002724182119053419 0.9999999797833863
4 0.004625894105149042 0.9999999010109719
5 0.005894940407328377 0.9999997951489202
6 0.007321101497186196 0.9999996075997427
7 0.008913976632068677 0.9999992917045144
8 0.010707174185135481 0.9999987724912301
9 0.012459310307810455 0.9999980658862737
10 0.014293249417098818 0.9999970799323255
11 0.01590352366705496 0.9999959776479529
12 0.018020548392702156 0.9999941480041529
13 0.019891981793380076 0.9999921289230324
14 0.02165811817890343 0.9999898407380746
15 0.02439184279310831 0.9999854877805539
16 0.025235125260183015 0.999983929980847
17 0.027460739271690193 0.9999792920706719
18 0.028652188189946737 0.9999764780466168
19 0.02973337892879526 0.9999737134980339
20 0.030937066189210417 0.9999703900700839
