#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success 1-node_p_success
1 724.6793392381293 1.0 0.0 0.0 0.0 0.0 1747.6666666666667 1669.6666666666667 78.0 0.0 1747.6666666666667 1746.6666666666667 1669.6666666666667 351.28321079338076 2.2842937000401717e-07 1.1900483841358112e-08 0.0022867472601785766 0.9977132527398215
2 413.73780879572587 1.0 0.0 0.0 0.0 0.0 3506.0 3028.0 478.0 0.0 1753.0 1752.0 3028.0 329.74121731137706 2.280036250524506e-07 1.191066671101911e-08 0.0011478125681625847 0.9988521874318375
3 1423.4225695360622 1.0 0.0 0.0 0.0 0.0 5261.333333333333 4094.6666666666665 1166.3333333333333 0.3333333333333333 1753.7777777777776 1752.7777777777776 4094.6666666666665 799.7934290963227 2.2806811514360474e-07 1.1914936974367507e-08 0.0007530486037996424 0.9992469513962003
4 955.1075390703703 1.0 0.0 0.0 0.0 0.0 7029.666666666667 4926.0 2103.6666666666665 0.0 1757.4166666666667 1756.4166666666667 4926.0 688.5797029536778 2.2750535094560344e-07 1.1916445179441328e-08 0.0005643474667855721 0.9994356525332144
5 4006.9557296153957 1.0 0.0 0.0 0.0 0.0 8775.0 5577.0 3197.6666666666665 0.3333333333333333 1755.0 1754.0 5577.0 1716.9933072502406 2.278220601941812e-07 1.191689226120694e-08 0.0004514965666956479 0.9995485034333044
6 2942.481506435479 1.0 0.0 0.0 0.0 0.0 10539.666666666666 6131.0 4408.666666666667 0.0 1756.6111111111113 1755.6111111111113 6131.0 1689.2407386934253 2.2765667884239812e-07 1.1917521531045019e-08 0.00038111392672409523 0.9996188860732759
7 2548.784335008954 1.0 0.0 0.0 0.0 0.0 12272.666666666666 6452.666666666667 5820.0 0.0 1753.2380952380954 1752.2380952380954 6452.666666666667 1438.2071636101346 2.2808242838890253e-07 1.1918006173078035e-08 0.00032690763292004643 0.9996730923670799
8 3731.4038831580037 1.0 0.0 0.0 0.0 0.0 14025.666666666666 6717.0 7308.666666666667 0.0 1753.2083333333333 1752.2083333333333 6717.0 2058.744063163797 2.2813336546885243e-07 1.191841919918284e-08 0.00028071144509378665 0.9997192885549062
9 7247.487751418533 1.0 0.0 0.0 0.0 0.0 15780.0 6839.0 8940.666666666666 0.3333333333333333 1753.3333333333333 1752.3333333333333 6839.0 3001.4069474061002 2.2812964889920222e-07 1.1918676292112472e-08 0.0002519560876769805 0.999748043912323
10 3672.556669753816 1.0 0.0 0.0 0.0 0.0 17594.0 6976.0 10618.0 0.0 1759.4000000000003 1758.4000000000003 6976.0 2235.7049396173147 2.273118390644947e-07 1.1918883021913882e-08 0.00022883375079777425 0.9997711662492023
