#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages
10 0.38931666666666603 0.568181818181818 1.089167899769361e-08 0.152 0.003220848614881666 2.399719219566633e-11 10.004 4.32 5.684 0.0 1.0004000000000002 0.0004
20 0.6302058830058821 0.807320346320348 1.678102967837295e-08 0.238 0.002573419554145661 1.9173469797862032e-11 20.018 3.856 16.162 0.0 1.0009000000000001 0.0009
30 0.759645331139449 0.9000670607971519 2.409628061269963e-08 0.342 0.0024506240616160545 1.825857208383124e-11 30.058 3.004 27.054 0.0 1.0019333333333333 0.0019333333333333331
40 0.8315426354347408 0.9415917732246482 2.5416763511417423e-08 0.382 0.002156163024211445 1.6064666391994394e-11 40.138 2.346 37.792 0.0 1.00345 0.00345
50 0.8796462776798589 0.9636284726738824 2.9233546819677922e-08 0.454 0.002142333070273972 1.596162520553151e-11 50.346 1.842 48.504 0.0 1.00692 0.00692
60 0.9093015582721969 0.9758629530009246 2.65460331663574e-08 0.418 0.001662183034534429 1.2384228665638186e-11 60.318 1.464 58.854 0.0 1.0053 0.0053
70 0.9189769453175854 0.9808551293981219 2.6224143327165225e-08 0.428 0.0015240286635119587 1.1354898389517953e-11 70.47 1.36 69.11 0.0 1.0067142857142861 0.006714285714285712
80 0.9349697373462303 0.9859920438570122 2.549352516613385e-08 0.426 0.0013358664328081713 9.95298052436241e-12 80.746 1.144 79.602 0.0 1.009325 0.009325
90 0.9431606179940284 0.9887511998903417 2.2560316273702057e-08 0.384 0.0011026135275206024 8.215110954050738e-12 90.996 1.042 89.954 0.0 1.011066666666667 0.011066666666666664
100 0.9483653523000204 0.9906147617296334 2.342071219705433e-08 0.398 0.0010241443287582412 7.63046986429573e-12 100.794 0.96 99.834 0.0 1.0079399999999998 0.007939999999999996
