#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability
10 0.6539611111111118 0.8155333333333309 0.0 0.0 0.0 0.0 10.0 1.8446666666666667 8.155333333333333 0.0 1.0 0.0 1.8446666666666667 0.0
20 0.7979822029822046 0.9234666666666757 0.0 0.0 0.0 0.0 20.0 1.5306666666666666 18.469333333333335 0.0 1.0 0.0 1.5306666666666666 0.0
30 0.8481729178229217 0.9542666666666688 0.0 0.0 0.0 0.0 30.0 1.372 28.628 0.0 1.0 0.0 1.372 0.0
40 0.8755930317503869 0.9679499999999963 0.0 0.0 0.0 0.0 40.0 1.282 38.718 0.0 1.0 0.0 1.282 0.0
50 0.9019036797080943 0.9779066666666756 0.0 0.0 0.0 0.0 50.0 1.1046666666666667 48.89533333333333 0.0 1.0 0.0 1.1046666666666667 0.0
60 0.909479437756374 0.9819222222222296 0.0 0.0 0.0 0.0 60.0 1.0846666666666667 58.915333333333336 0.0 1.0 0.0 1.0846666666666667 0.0
70 0.9216806920140487 0.9860857142857077 0.0 0.0 0.0 0.0 70.0 0.974 69.026 0.0 1.0 0.0 0.974 0.0
80 0.9331676474419494 0.9891416666666617 0.0 0.0 0.0 0.0 80.0 0.8686666666666667 79.13133333333333 0.0 1.0 0.0 0.8686666666666667 0.0
90 0.9398612614761204 0.9910444444444434 2.500756959211991e-11 0.0006666666666666666 2.9425482925527276e-06 2.1923693214004692e-14 90.0 0.806 89.194 0.0 1.0 0.0 0.8053333333333333 0.0015233744169910587
100 0.9432909128113357 0.9922000000000054 0.0 0.0 0.0 0.0 100.0 0.78 99.22 0.0 1.0 0.0 0.78 0.0
