#nodes "collision time" "collision probability" "mean time before channel busy" "mean number of node that transmitted data" "total simulation time" "mean sent rts count"
1 0.0 0.0 9.8183935888083 1.0 9.8183935888083 1.0
2 0.13133333333333333 0.0017850897896211056 47.84680085355416 0.9906666666666667 48.79886725755853 1.1603333333333334
3 0.25933333333333336 0.0025231426793370397 85.47870915739745 0.9833333333333333 87.4473518805623 1.2648888888888912
4 0.5586666666666666 0.0040536917091489166 123.65032630655912 0.9608333333333333 129.31255938861705 1.4626666666666666
5 0.822 0.004740220634076666 161.83404287307192 0.9379999999999932 172.47442097907097 1.6034666666666675
6 1.3906666666666667 0.006545202630969956 199.7259156720034 0.9036666666666647 220.0396866255264 1.819555555555554
7 1.8166666666666667 0.007337326359335093 228.04971557883056 0.868857142857149 258.6989915271423 1.9781904761904727
8 2.488 0.009142610156847558 244.49669086818986 0.8146666666666667 291.4476843068549 2.1585
9 3.2613333333333334 0.011382407209497503 245.9538291228978 0.7471851851851931 314.65638680696617 2.315851851851852
10 4.168666666666667 0.014696195782411325 230.78182464071682 0.6613999999999995 323.15174009680317 2.4436666666666693
11 5.114 0.018729478150609814 212.7547236935779 0.5793333333333331 326.10036055067513 2.5656969696969707
12 6.089333333333333 0.02426485704887042 188.31197847529486 0.4971111111111104 318.76569873031525 2.6466111111111092
13 7.193333333333333 0.030701507785660373 164.36429256074132 0.4239487179487182 308.79960730832215 2.7118974358974475
14 8.189333333333334 0.03787381969041545 142.87879781116163 0.3561428571428575 297.27242808679404 2.7663809523809517
15 9.377333333333333 0.0465264001932226 126.44229102935184 0.30355555555555397 287.2356089595822 2.806177777777781
16 10.371333333333334 0.055193261586114505 114.07070875946926 0.2597083333333333 277.6177242503029 2.834041666666667
17 11.352666666666666 0.0603092886129414 119.03348506220837 0.25027450980392274 289.5659818991683 2.844431372549035
18 12.419333333333332 0.06814732107557858 114.0976554574692 0.22307407407407406 289.51980652512907 2.865777777777772
19 13.602666666666666 0.07862177787421003 98.8974027712189 0.18361403508771984 276.5470444982813 2.8921052631578967
20 14.565333333333333 0.08489662780133943 97.1687599844233 0.17239999999999978 276.74000259263624 2.8982999999999928
