#nodes "collision time" "collision probability" "mean time before channel busy" "mean number of node that transmitted data" "total simulation time" "mean sent rts count"
1 0.0 0.0 32.40893515996777 1.0 30.866688681794525 1.176
2 0.11666666666666667 0.0012719404188284334 72.85423403017516 1.0 72.42478107541766 1.533
3 0.3253333333333333 0.00246628261481376 124.4370598329892 1.0 123.92295193036134 1.775777777777778
4 0.66 0.0037870168991046417 174.34018874064387 1.0 173.93283144199845 2.029333333333333
5 1.1206666666666667 0.005047726263965392 222.66838678529345 1.0 222.26701561507417 2.181599999999998
6 1.6206666666666667 0.005894648398399224 277.18812918618715 1.0 276.8502474583108 2.3648888888888893
7 2.183333333333333 0.006669491108857206 328.679784584687 1.0 328.4147012434311 2.500095238095237
8 2.8826666666666667 0.0075452076775612 385.17735530576925 1.0 384.89194164154 2.6615
9 3.6313333333333335 0.00834592136937782 439.02661324626143 1.0 438.8055373707877 2.7711111111111135
10 4.439333333333333 0.00889417121150164 501.2053676744474 1.0 500.9700282900586 2.91466666666667
11 5.343333333333334 0.009668913866432672 555.449759539679 1.0 555.2734707591029 3.042060606060603
12 6.224 0.01011588514499464 616.1319285577655 1.0 615.9234428322886 3.139666666666671
13 7.155333333333333 0.010631298662720667 672.7305191202294 1.0 672.5441157233873 3.2237948717948686
14 8.114666666666666 0.011141458112377874 728.5152406745945 1.0 728.33594450197 3.2918095238095195
15 9.098666666666666 0.0115877902166969 785.7058119064237 1.0 785.5417609516928 3.346666666666668
16 10.196 0.01201094914487 845.543234104573 1.0 845.456517839076 3.4332083333333334
17 11.406666666666666 0.012462933213950938 914.1017369001099 1.0 913.9255396724725 3.5392156862745137
18 12.490666666666666 0.01281366745009652 974.1689441001099 1.0 974.0445914107997 3.602592592592592
19 13.610666666666667 0.013161882177122825 1030.91521644441 1.0 1030.812822946671 3.6598947368421038
20 14.747333333333334 0.013407666846173531 1095.801002148349 1.0 1095.674198148877 3.7374666666666676
