#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability
1 0.0 0.0 7.059278269955861e-08 1.0 0.21763426488345428 1.6215016311664453e-09 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.07513764254953578
2 0.048444444444444464 0.07182857142857146 1.0032350526332897e-07 1.996 0.16152731255150432 1.2034722607694888e-09 2.588 2.272 0.316 0.0 1.294 0.294 0.276 0.08283960390440774
3 0.09182222222222242 0.14647460317460423 1.2451155419008853e-07 2.9913333333333334 0.12747364495085942 9.497526656900303e-10 4.228666666666666 3.406 0.8226666666666667 0.0 1.4095555555555532 0.4095555555555561 0.4146666666666667 0.0750854710771879
4 0.12576084656084577 0.20673406778406714 1.4871680399380535e-07 3.96 0.10476968261926675 7.805949644689765e-10 6.198 4.639333333333333 1.5586666666666666 0.0 1.5495 0.5495 0.6793333333333333 0.07533807646858234
5 0.1498886243386235 0.2508501740089976 1.7151075148242873e-07 4.919333333333333 0.08927022234322494 6.651149864735078e-10 8.266 5.899333333333334 2.3666666666666667 0.0 1.6532000000000004 0.6532 0.98 0.0779745010633742
6 0.17827001517001592 0.2995823447479018 1.929021887807538e-07 5.8053333333333335 0.07741774728507125 5.768071657797043e-10 10.692 7.157333333333334 3.534666666666667 0.0 1.7819999999999987 0.7820000000000001 1.352 0.08192386492179174
7 0.1979799108299113 0.33515577590113416 2.1357043342214212e-07 6.708 0.06887020374014982 5.131230036925511e-10 13.086666666666666 8.352666666666666 4.734 0.0 1.8695238095238085 0.8695238095238111 1.6446666666666667 0.08441856099105685
8 0.2205329940756407 0.3704495089636636 2.314774105188895e-07 7.508 0.06180928274022531 4.6051504269410157e-10 15.768666666666666 9.562 6.206666666666667 0.0 1.9710833333333333 0.9710833333333333 2.054 0.08916969300730872
9 0.2442273116603612 0.40562525040041814 2.5024838468429724e-07 8.23 0.05548510809081986 4.1339626975968373e-10 18.709333333333333 10.73 7.979333333333333 0.0 2.078814814814813 1.0788148148148158 2.5 0.09352552360593196
10 0.258652240240553 0.43009443962016203 2.705251560250478e-07 9.038666666666666 0.05067662051112328 3.775702454978472e-10 21.530666666666665 11.891333333333334 9.639333333333333 0.0 2.1530666666666707 1.1530666666666676 2.8526666666666665 0.09476214254854735
11 0.27799322673843935 0.4571324599801482 2.853875797426793e-07 9.680666666666667 0.046638027300065506 3.4748038128067185e-10 24.652666666666665 12.995333333333333 11.657333333333334 0.0 2.2411515151515187 1.2411515151515145 3.3146666666666667 0.09949969445853535
12 0.2878146280197296 0.4739521114623508 3.010869716239527e-07 10.373333333333333 0.04340407937902018 3.233855916486694e-10 27.61 14.139333333333333 13.470666666666666 0.0 2.3008333333333333 1.3008333333333333 3.766 0.10212617667410426
13 0.3029436609014419 0.4953144497130202 3.1558954183507264e-07 10.905333333333333 0.04007260189876363 2.9856415017518127e-10 30.986 15.242666666666667 15.743333333333334 0.0 2.3835384615384614 1.3835384615384658 4.3373333333333335 0.10611909475913839
14 0.3125555705550089 0.5114968309953604 3.2898164791960537e-07 11.452 0.03747694693400827 2.7922501365846597e-10 34.19 16.31 17.88 0.0 2.442142857142854 1.442142857142858 4.858 0.10917446623749698
15 0.32411482488976395 0.5297186634992122 3.411116535825222e-07 11.949333333333334 0.0351121234074997 2.6160570537671225e-10 37.656 17.347333333333335 20.308666666666667 0.0 2.5103999999999993 1.510399999999999 5.398 0.11256520230086912
16 0.3387724488445869 0.5473647535107768 3.562744659314696e-07 12.414666666666667 0.03271743771610893 2.4376390662870505e-10 41.29866666666667 18.313333333333333 22.985333333333333 0.0 2.581166666666667 1.5811666666666666 5.898666666666666 0.11598477768093786
17 0.3484362393532593 0.5609143091145121 3.6700885315179103e-07 12.879333333333333 0.030980223611644653 2.308206529292811e-10 44.67133333333334 19.247333333333334 25.424 0.0 2.627725490196081 1.6277254901960803 6.368 0.11911269330388888
18 0.3634265028346529 0.5794693021625315 3.776369675862639e-07 13.136666666666667 0.028976784606340664 2.1589386914924282e-10 48.68866666666667 20.096666666666668 28.592 0.0 2.7049259259259277 1.7049259259259273 6.96 0.1230094915672404
19 0.3700637661991799 0.5890057141865968 3.8790950196672863e-07 13.460666666666667 0.027392284976250417 2.0408842694945944e-10 52.40133333333333 21.158666666666665 31.24266666666667 0.0 2.7579649122807006 1.757964912280705 7.698 0.12635554159627313
20 0.3835070349596386 0.6054684793494115 3.9709868875543055e-07 13.664666666666667 0.02581143868275273 1.923102042284066e-10 56.336666666666666 21.854666666666667 34.482 0.0 2.8168333333333337 1.8168333333333355 8.19 0.12953611900725912
