#nodes "collision by time" "collision by call" "collision by call on GW" "D total" "Nodes count that transmitted data" "(tau_data / D_total) * (transmitted_nodes/all nodes)" "1 - (tau_data / D_total) * (transmitted_nodes/all nodes)" number_of_generated_calls number_of_correctly_received_calls number_of_not_correctly_received_calls transmitted_rts_messages retransmitted_rts_messages number_of_false_success_received_calls collision_gw_time_blocking_probability E_tc T_RTS node_p_success
1 0.0 0.0 6.988038835542652e-08 1.0 0.220199598267043 1.6406148542988523e-09 1.0 1.0 0.0 0.0 1.0 0.0 0.0 0.07704197786221115 2.5743768777044426e-08 2.9802322387695575e-09 1.0
2 0.058399999999999945 0.08636190476190474 1.0331096079925021e-07 2.0 0.1607594619801165 1.19775132820097e-09 2.644 2.252 0.392 0.0 1.322 0.322 0.252 0.08278050341788538 5.934764805842307e-08 3.9398670196533356e-09 1.0
3 0.09827142857142859 0.15807936507936515 1.2806648207376937e-07 3.0 0.12484356942941024 9.301570760414768e-10 4.318 3.434 0.884 0.0 1.4393333333333336 0.43933333333333346 0.434 0.07269464075397439 8.406708381447659e-08 4.289547602335621e-09 1.0
4 0.11533015873015898 0.18964379509379495 1.4925704268382385e-07 4.0 0.10507809830484931 7.828928403917648e-10 6.156 4.726 1.43 0.0 1.539 0.539 0.726 0.07543428710281934 1.054156370820072e-07 4.5865774154663105e-09 1.0
5 0.1523031746031747 0.2535106005106011 1.7514373444719746e-07 5.0 0.0890961459284363 6.638180161151014e-10 8.294 5.906 2.388 0.0 1.6587999999999987 0.6587999999999996 0.906 0.0755374781492352 1.3137539533382222e-07 4.943609237670898e-09 1.0
6 0.1904059385059385 0.3207865562713869 2.0353974532367904e-07 6.0 0.07660462151817388 5.707489067179998e-10 10.88 7.064 3.816 0.0 1.8133333333333326 0.8133333333333336 1.064 0.07680247108469603 1.5960918729796568e-07 5.404154459635437e-09 1.0
7 0.20034344544344593 0.3386515600928147 2.2407913377029344e-07 7.0 0.06893392587770103 5.135977706141847e-10 13.116 8.33 4.786 0.0 1.8737142857142854 0.8737142857142853 1.33 0.07833739069715301 1.8023752680014602e-07 5.584103720528745e-09 1.0
8 0.22757882101558594 0.37954607832860066 2.509404267995716e-07 8.0 0.061252226048058585 4.563646469120576e-10 15.994 9.55 6.444 0.0 1.99925 0.99925 1.55 0.08001770706857232 2.0695355801753504e-07 5.9582293033599876e-09 1.0
9 0.23368550729456325 0.3938535999602277 2.746862708142967e-07 9.0 0.055803521261968234 4.157686327544468e-10 18.702 10.944 7.758 0.0 2.0779999999999994 1.078 1.944 0.08254443372417504 2.3076374169412383e-07 6.192922592163089e-09 1.0
10 0.2477338252637415 0.4168338892060589 2.963411859960899e-07 10.0 0.05161898620832974 3.8459141707666025e-10 21.308 12.008 9.3 0.0 2.130799999999999 1.1307999999999991 2.008 0.08331493262918681 2.525095340279035e-07 6.35027885437012e-09 1.0
11 0.26691481070538997 0.4455261951425144 3.215750053384983e-07 11.0 0.04741004143788754 3.5323233483647956e-10 24.606 13.276 11.33 0.0 2.236909090909091 1.23690909090909 2.276 0.08570070310078402 2.7769088968776274e-07 6.666508587923922e-09 1.0
12 0.2847782790817241 0.47249807913975334 3.5006746496901805e-07 12.0 0.04351274747430501 3.241952320509032e-10 28.4 14.56 13.84 0.0 2.366666666666666 1.3666666666666671 2.56 0.08645180240542334 3.0622716591470193e-07 7.053216298421223e-09 1.0
13 0.2930088470564401 0.4834591622462176 3.7349355786372985e-07 13.0 0.04074638424684904 3.0358421986437617e-10 31.508 15.864 15.644 0.0 2.423692307692311 1.4236923076923063 2.864 0.08848395362409703 3.296401147864044e-07 7.223165952242335e-09 1.0
14 0.3091330876922904 0.5081833084010017 4.03040284231602e-07 14.0 0.037598565857635526 2.8013114525106196e-10 35.42 17.038 18.382 0.0 2.5299999999999976 1.53 3.038 0.08921517336918987 3.5914959657661413e-07 7.539987564086917e-09 1.0
15 0.31188042699804647 0.5150157709355546 4.1937735772280697e-07 15.0 0.03617622763410623 2.695338996805715e-10 38.41 18.186 20.224 0.0 2.560666666666666 1.5606666666666633 3.186 0.09123620380276605 3.7547943253469635e-07 7.631381352742515e-09 1.0
16 0.33037241792014577 0.5378849492894718 4.5329828820784997e-07 16.0 0.03339563551196174 2.4881687396736247e-10 42.88 19.396 23.484 0.0 2.68 1.68 3.396 0.09148659850517979 4.094639531900293e-07 7.987022399902343e-09 1.0
17 0.3374463017214786 0.5486148026147221 4.744380409258781e-07 17.0 0.03194228010545829 2.3798853237523356e-10 46.884 20.718 26.166 0.0 2.7578823529411776 1.7578823529411765 3.718 0.09408076895004114 4.3059131184779187e-07 8.21912989896886e-09 1.0
18 0.3455724110350148 0.5611740950133358 5.05412107961927e-07 18.0 0.029941885480739505 2.2308443099811304e-10 50.89 21.886 29.004 0.0 2.8272222222222223 1.8272222222222234 3.886 0.0932753903521922 4.614914578594778e-07 8.425778812832315e-09 1.0
19 0.35291322529042257 0.5717547819384301 5.272136466995974e-07 19.0 0.0286476923400033 2.1344194069507196e-10 54.956 23.128 31.828 0.0 2.8924210526315846 1.8924210526315797 4.128 0.09524552647317365 4.833804970662169e-07 8.620086469148335e-09 1.0
20 0.36134797849552575 0.5820539234835391 5.532443722200703e-07 20.0 0.027254452025705218 2.0306149144251062e-10 59.398 24.42 34.978 0.0 2.969899999999998 1.9698999999999993 4.42 0.09586478186171875 5.093585264138122e-07 8.85099172592163e-09 1.0
