#nodes "p analytical" "p simulation"
1 0.0 0.0
2 0.3125 0.06824999999999996
3 0.4938271604938271 0.10026388888888882
4 0.6015625000000001 0.15375202575202576
5 0.6720000000000002 0.1908275772430185
6 0.7214506172839504 0.23331798937216897
7 0.7580174927113704 0.261262073810524
8 0.7861328125 0.2884397355717823
9 0.8084133516232285 0.30226401298893824
10 0.8265000000000002 0.3377133358659949
11 0.841472577009767 0.35933975149024305
12 0.8540702160493826 0.37605108189194797
13 0.8648156577150662 0.3959933980426721
14 0.8740889212827988 0.4229795595561665
15 0.8821728395061732 0.43511289423907035
16 0.8892822265624999 0.45459552441791085
17 0.8955831467535111 0.4797583853670707
18 0.901205989940558 0.4899546636209592
19 0.9062545560577344 0.49603929948264
20 0.9108125000000001 0.5325518097518226
