#nodes "p analytical" "p simulation"
1 0.0 0.0
2 0.24609375 0.06166666666666666
3 0.42249657064471857 0.11035714285714288
4 0.5357666015625002 0.16201509601509606
5 0.6128640000000002 0.17779156335580484
6 0.6683438357338816 0.1815442531668537
7 0.7100612839888142 0.20810205193288678
8 0.7425270080566407 0.22409109152975443
9 0.7684917046294889 0.22699930809171096
10 0.7897207500000004 0.2704788349998413
11 0.8073964148002806 0.27277410897551
12 0.8223391351058811 0.2866870218759167
13 0.8351355937224783 0.30077819016997775
14 0.8462161878235258 0.3087151153334873
15 0.8559036927297672 0.3132740015238634
16 0.864444851875305 0.3175076087852669
17 0.8720314792264292 0.3179196885069084
18 0.8788149151904917 0.3396728556274071
19 0.8849161523832448 0.34633427403400346
20 0.8904330703125002 0.3551027381480305
