#nodes "collision time" "collision probability" "mean time before channel busy"
1 0.0 0.0 0.030157609946722827
2 0.122 0.0015048473288817757 0.11303347307801473
3 0.29 0.0029317056570540953 0.23959872445833447
4 0.548 0.004016540175097503 0.22540666733426035
5 0.884 0.004626410744364401 0.3863533076385757
6 1.364 0.005769581321006287 0.7051991958662337
7 1.9 0.006543279119802378 0.7008247449482651
8 2.55 0.007320402950136635 0.5033787779714388
9 3.296 0.007781714190822635 0.8872011470726401
10 4.408 0.008940106129937493 1.17884779981491
11 5.778 0.00998954826392193 1.781872806232088
12 7.164 0.010595235683732284 1.2882259240212803
13 8.868 0.011541581462492562 1.319699628412101
14 11.114 0.01262375534608446 1.4954261977357348
15 13.056 0.01309620906376082 2.513271178417611
16 15.892 0.013875015877636556 2.8598227114796733
17 17.904 0.014033114443842198 2.5930544743461215
18 19.886 0.01418518968465794 3.229066433479914
19 23.63 0.014846182783145197 2.8124097377160866
20 27.814 0.01566790482096118 4.563124614085101
