#nodes "collision time" "collision probability" "mean time before channel busy" "mean number of node that transmitted data"
1 0.0 0.0 9.661928146914757 1.0
2 0.128 0.0017461439950955475 48.23442497496556 0.993
3 0.244 0.0024366053573344044 88.84972197043012 0.9873333333333336
4 0.582 0.0041874553231381504 129.78190232369803 0.9605
5 0.832 0.004775169113494674 175.06705069482035 0.9348000000000022
6 1.258 0.0058357821490883 219.64686340110387 0.9113333333333321
7 1.8 0.0073784734200332365 253.1618020690951 0.864571428571425
8 2.482 0.009056058812748765 286.8617497002198 0.81375
9 3.194 0.01118768820935805 311.7088925251342 0.7500000000000002
10 3.98 0.013238184814726958 326.2920358468603 0.6963999999999997
11 5.238 0.01916261748801599 327.481121358623 0.5838181818181818
12 6.016 0.025245198808432776 312.59784254612265 0.47383333333333316
13 7.144 0.03051578975340936 302.12227957791407 0.42076923076923106
14 8.262 0.037664335466485496 299.7001732177609 0.35514285714285687
15 9.264 0.04680479798979877 284.24597002804916 0.2994666666666671
16 10.596 0.05969057739048005 271.7045285114274 0.236875
17 11.166 0.05928612328319397 297.5206881452896 0.2517647058823531
18 12.474 0.06829853055758187 289.02849404072253 0.21222222222222262
19 13.6 0.07902187888862028 282.90666132659703 0.18547368421052637
20 14.618 0.0873893154924868 276.7613410758838 0.16479999999999986
